OID_,정비유형,활용유형,위치,Latitude,Longitude,비고,F7,NEAR_FID_hospital,NEAR_DIST_hospital(m),NEAR_FID_school,NEAR_DIST_school(m),NEAR_FID_industry,NEAR_DIST_industry(m)
485,단순철거,단순철거,경상북도 청송군 진보면 이촌리 550-6,36.533941,129.02996,-,,73,353.8432326,34,378.1907296,12129,9939.940274
486,단순철거,단순철거,경상북도 청송군 진보면 후평리 236-4,36.5305889,129.0265107,-,,73,559.6699762,34,731.6641731,12129,10391.28404
487,단순철거,단순철거,경상북도 청송군 청송읍 월막리 189-4,36.4325212,129.0578422,-,,73,11783.91359,578,279.8128678,12116,20709.13123
488,단순철거,단순철거,경상북도 청송군 현서면 무계리 431-0,36.2103334,128.9774733,-,,3,25173.68432,274,9008.069157,5627,24100.36406
489,단순철거,단순철거,경상북도 청송군 진보면 신촌리 232-1,36.4979354,129.117375,-,,73,9146.790475,93,6289.303374,12116,14228.26011
490,단순철거,단순철거,경상북도 청송군 진보면 괴정리 754-6,36.4909044,129.1200618,-,,73,9735.839404,93,6994.544731,12116,15044.64618
491,단순철거,단순철거,경상북도 청송군 청송읍 거대리 405-3,36.4242684,129.1075061,-,,73,14333.0471,578,4513.524387,12116,21946.07424
492,단순철거,단순철거,경상북도 청송군 파천면 관리 805-4,36.446195,129.0328484,-,,73,9944.17868,891,148.7425791,12129,19395.53598
493,단순철거,단순철거,경상북도 청송군 파천면 지경리 364-5,36.4380881,128.9815691,-,,73,11556.55774,891,4572.247853,12129,21417.62654
494,단순철거,단순철거,경상북도 청송군 현서면 월정리 540-9,36.2061215,128.90769,-,,176,20805.13705,594,7807.153123,5627,25489.32157
495,단순철거,단순철거,경상북도 청송군 진보면 후평리 232-1,36.5312184,129.0265624,-,,73,489.7344565,34,703.4268616,12129,10323.75269
496,단순철거,단순철거,경상북도 청송군 진보면 월전리 7-1,36.539779,129.0798395,-,,73,4790.740513,102,3034.254304,12116,8889.670618
497,단순철거,단순철거,경상북도 청송군 진보면 시량리 295-2,36.529464,129.0999153,-,,73,6603.069939,171,3826.702741,12116,10413.38761
498,단순철거,단순철거,경상북도 청송군 청송읍 금곡리 849-1,36.4280105,129.0561345,-,,73,12236.88638,578,261.9823181,12116,21214.89725
499,단순철거,단순철거,경상북도 청송군 현서면 천천리 373-2,36.2451234,128.9054107,-,,23,19565.39383,594,3520.967943,10082,23422.01033
500,단순철거,단순철거,경상북도 청송군 진보면 추현리 166-0,36.561842,128.9993755,-,,73,3797.166519,34,4452.065484,12132,8580.740697
501,단순철거,단순철거,경상북도 청송군 진보면 추현리 168-12,36.5615108,128.9995481,-,,73,3759.079749,34,4414.968046,12132,8597.972128
502,단순철거,단순철거,경상북도 청송군 진보면 광덕리 320-0,36.5393864,129.045197,-,,73,1716.524072,29,800.0188727,12129,9009.046262
503,단순철거,단순철거,경상북도 청송군 진보면 각산리 453-6,36.5322795,129.0565723,-,,73,2709.913743,102,789.9965277,12116,9654.69029
504,단순철거,단순철거,경상북도 청송군 진보면 추현리 552-5,36.5694248,128.9917023,-,,73,4883.725686,34,5535.330816,12132,8477.879828
505,단순철거,단순철거,경상북도 청송군 현서면 두현리 933-0,36.2894709,128.9222272,-,,23,17731.28737,420,2300.546758,15072,22908.03764
506,단순철거,단순철거,경상북도 청송군 진보면 이촌리 80-4,36.5293988,129.0366741,-,,73,1136.399854,34,474.4266465,12129,10257.81964
507,단순철거,단순철거,경상북도 청송군 파천면 지경리 379-1,36.4370782,128.9800582,-,,73,11709.25726,891,4725.847313,12129,21569.93914
508,단순철거,단순철거,경상북도 영양군 석보면 원리리 335-6,36.5596651,129.1252952,#######,,73,9233.588904,171,241.2525087,12116,8506.228035
509,단순철거,단순철거,경상북도 영양군 일월면 섬촌리 511-0,36.7042918,129.1402477,#######,,104,5068.325605,22,1147.869915,12121,11599.28415
510,단순철거,단순철거,경상북도 영양군 일월면 섬촌리 272-0,36.7185285,129.1426099,#######,,104,6614.533905,22,2292.923867,12121,13027.68939
511,단순철거,단순철거,경상북도 영양군 일월면 도곡리 333-3,36.7483697,129.0844605,#######,,104,9973.770588,221,5894.116924,12121,14425.12421
512,단순철거,단순철거,경상북도 영양군 청기면 토구리 4-0,36.717358,129.0579131,#######,,104,8081.278774,221,1969.78093,12132,10872.53186
513,단순철거,단순철거,경상북도 영양군 수비면 발리리 470-2,36.7643658,129.2052412,#######,,104,13767.38658,67,151.7016901,12121,20421.61677
514,단순철거,단순철거,경상북도 영양군 수비면 수하리 778-3,36.7861854,129.2259204,#######,,104,16811.35079,67,3072.609149,7074,19777.49793
515,단순철거,단순철거,경상북도 영양군 일월면 가곡리 256-3,36.7316885,129.0849089,#######,,104,8208.17202,221,4279.442042,12121,12595.05961
516,단순철거,단순철거,경상북도 영양군 석보면 택전리 368-0,36.5382571,129.1610409,#######,,73,12046.81652,93,2788.785126,12116,12411.09756
517,단순철거,단순철거,경상북도 영양군 석보면 택전리 589-0,36.5370703,129.1637338,#######,,73,12285.67626,93,3062.139955,12116,12673.38203
518,단순철거,단순철거,경상북도 영양군 입암면 삼산리 89-3,36.5799441,129.0859724,#######,,73,7243.515848,600,2198.635967,12116,4717.044658
519,단순철거,단순철거,경상북도 영양군 영양읍 상원리 305-0,36.6853172,129.1482136,#######,,104,3743.642629,22,2570.196941,12121,10461.6621
520,단순철거,단순철거,경상북도 영양군 수비면 오기리 411-0,36.736979,129.2077159,#######,,104,11557.54652,67,3133.673389,12121,18278.48196
